S.No,Molecule SMILE,PCE
21,Cc1ccc(cc1)N(/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/N(c1ccc(cc1)C)c1ccc(cc1)C)/c1c(C)cc(cc1C)C)/c1ccc(cc1)C(=O)O)c1ccc(cc1)C,3.8
22,OC(=O)c1ccc(cc1)C#Cc1cc2n3c1/C=C\1/C=CC(=N1)/C(=c/1\n([Zn]3)/c(=C(\C3=N/C(=C\2/c2cc(cc(c2)C(C)(C)C)C(C)(C)C)/C=C3)/N(c2ccc(cc2)C(C)(C)C)c2ccc(cc2)C(C)(C)C)/cc1)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C,5.9
23,Cc1ccc(cc1)N(/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)C(=O)O)/c1ccc(cc1)C(=O)O)/N(c1ccc(cc1)C)c1ccc(cc1)C)c1ccc(cc1)C,5.5
24,Cc1ccc(cc1)N(/C/1=c/2\cc/c/3=C(/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/c1c(C)cc(cc1C)C)cc5)/c1ccc(cc1)C(=O)O)/C=C4)\c1c(C)cc(cc1C)C)c1ccc(cc1)C,6.5
25,Cc1cc(C)c(c(c1)C)/C/1=c/2\cc/c/3=C(\c4ccc(cc4)C(=O)O)/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/c1c(C)cc(cc1C)C)cc5)/c1c(C)cc(cc1C)C)/C=C4,4.4
26,CCCCO/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/C=C/C(=O)O)/c1ccccc1)/c1ccccc1,6.04
27,CCCCO/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/C=C(/C(=O)O)\C#N)/c1ccccc1)/c1ccccc1,3.08
28,CCCCO/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/C=C/C=C(/C(=O)O)\C#N)/c1ccccc1)/c1ccccc1,1.44
29,CCn1c2ccccc2c2c1c1c3cc(ccc3n(c1c1c2n(CC)c2c1cccc2)CC)/C/1=C/2\C=CC(=N2)/C(=c/2\n3[Zn]n4c1ccc4/C(=C\1/C=CC(=N1)/C(=c\3/cc2)/c1ccc(cc1)C(=O)O)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C,4.83
30,N#C/C(=C\c1ccc(cc1)/C/1=c/2\cc/c/3=C(/C4=N/C(=C(\c5n([Zn]n23)c(/C(=C/2\N=C1C=C2)/c1cc(cc(c1)C(C)(C)C)C(C)(C)C)cc5)/c1ccc2c(c1)c1c(n2CC)c2c3ccccc3n(c2c2c1n(CC)c1c2cccc1)CC)/C=C4)\c1cc(cc(c1)C(C)(C)C)C(C)(C)C)/C(=O)O,6.05
