S.No,Molecule SMILE,PCE
19,N#C/C(=C\c1ccc(s1)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C(=O)O,7.79
20,N#Cc1ccc(cc1)N1C2CCCC2c2c1ccc(c2)c1ccc(cc1)C=c1sc(=O)n(/c/1=c\1/on(c(=S)s1)CC)CC(=O)O,3.34
21,Cc1ccc(cc1)N1c2ccc(cc2C2C1CCC2)c1ccc(c2c1nsn2)c1ccc(cc1)C(=O)O,6.12
22,Cc1ccc(cc1)N1c2ccc(cc2C2C1CCC2)C#Cc1ccc(c2c1nsn2)c1ccc(cc1)C(=O)O,6.28
23,Cc1ccc(cc1)N1C2CCCC2c2c1ccc(c2)c1ccc(c2c1nsn2)C#Cc1ccc(cc1)C(=O)O,7.13
24,N#C/C(=C/c1ccc(s1)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C(=O)O,9.2
25,CCCCCCCCC1(CCCCCCCC)c2cc(sc2c2c1cc(s2)c1ccc(c2c1nc(c1ccccc1)c(n2)c1ccccc1)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)/C=C(\C(=O)O)/C#N,9
26,CCn1o/c(=c/2\c(=Cc3ccc(cc3)c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)N(C)C)sc(=O)n2CC(=O)O)/sc1=S,0.22
27,CCn1o/c(=c/2\c(=Cc3ccc(cc3)c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)N(c3ccccc3)c3ccccc3)sc(=O)n2CC(=O)O)/sc1=S,2.12
28,COc1ccc(cc1)N1C2CCCC2c2c1ccc(c2)c1ccc(cc1)C=c1sc(=O)n(/c/1=c\1/on(c(=S)s1)CC)CC(=O)O,4.08
29,CCn1o/c(=c/2\c(=Cc3ccc(cc3)c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C(F)(F)F)sc(=O)n2CC(=O)O)/sc1=S,3.58
30,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)/C=C(/C(=O)O)\C#N,0.77
31,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)c1ccc(s1)/C=C(/C(=O)O)\C#N,3.07
32,CCCCn1c2ccc(cc2c2c1nc1ccccc1n2)C#Cc1ccc(cc1)/C=C(/C(=O)O)\C#N,0.63
33,CCCCCCCCCCCCc1cc(sc1c1cc2c(s1)cc(s2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)C1C3CCC(C1N2c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)C3,4.38
34,CCCCCCCCn1nc2c(n1)c(c1ccc(s1)/C=C(/C(=O)O)\C#N)c1c(c2c2ccc(s2)c2cccc3c2C2C4CCC(C2N3c2ccccc2)C4)nc(c(n1)c1ccccc1)c1ccccc1,2.7
35,CCCCCCCCn1nc2c(n1)c(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1c(c2c2ccc(s2)c2cccc3c2C2C4CCC(C2N3c2ccccc2)C4)nc(c(n1)c1ccccc1)c1ccccc1,1.2
36,CCCCCCCCn1nc2c(n1)c(c1ccc(s1)C(=O)O)c1c(c2c2ccc(s2)c2cccc3c2C2C4CCC(C2N3c2ccccc2)C4)nc(c(n1)c1ccccc1)c1ccccc1,4.8
37,CCCCCCCCn1nc2c(n1)c(c1ccc(cc1)C(=O)O)c1c(c2c2ccc(s2)c2cccc3c2C2C4CCC(C2N3c2ccccc2)C4)nc(c(n1)c1ccccc1)c1ccccc1,2.8
38,CCCCCCCCn1nc2c(n1)c(c1ccc(s1)/C=C(/C(=O)O)\C#N)c1c(c2c2cccc3c2C2C4CCC(C2N3c2ccccc2)C4)nc(c(n1)c1ccccc1)c1ccccc1,4.8
39,CCCCCCCCn1nc2c(n1)c(c1ccc(cc1)/C=C(/C(=O)O)\C#N)c1c(c2c2cccc3c2C2C4CCC(C2N3c2ccccc2)C4)nc(c(n1)c1ccccc1)c1ccccc1,4.4
41,CCCCCCCCn1nc2c(n1)c(c1ccc(s1)/C=C(\C(=O)O)/C#N)c1c(c2c2ccc(s2)c2ccc(cc2)N2C3C4CCC(C3c3c2cccc3)C4)nc(c(n1)c1ccccc1)c1ccccc1,4.5
42,CCCCCCCCn1nc2c(n1)c(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1c(c2c2ccc(s2)c2ccc(cc2)N2C3C4CCC(C3c3c2cccc3)C4)nc(c(n1)c1ccccc1)c1ccccc1,3.2
43,CCCCCCCCn1nc2c(n1)c(c1ccc(s1)C(=O)O)c1c(c2c2ccc(s2)c2ccc(cc2)N2C3C4CCC(C3c3c2cccc3)C4)nc(c(n1)c1ccccc1)c1ccccc1,5.4
44,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc2c(c1)cc(n2c1ccc2c(c1)C(C)(C)c1c2cccc1)c1ccccc1)C(=O)O,6.96
45,CCCCCCc1ccc(cc1)c1cc2c(n1c1ccc3c(c1)C(C)(C)c1c3cccc1)ccc(c2)c1ccc(s1)c1ccc(s1)C=C(C(=O)O)C#N,7.18
46,N#C/C(=C\c1cc2C3CCCC3N(c2c2c1cccc2)c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)/C(=O)O,2.15
47,N#C/C(=C\c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)/C(=O)O,2.27
48,OC(=O)CN1C(=S)S/C(=C\c2cc3C4CCCC4N(c3c3c2cccc3)c2ccc(cc2)C=C(c2ccccc2)c2ccccc2)/C1=O,1.66
49,OC(=O)CN1C(=S)S/C(=C\c2ccc3c(c2)C2CCCC2N3c2ccc(cc2)C=C(c2ccccc2)c2ccccc2)/C1=O,3.55
50,CCN1C(=S)S/C(=c\2/s/c(=C\c3cc4C5CCCC5N(c4c4c3cccc4)c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)/c(=O)n2CC(=O)O)/C1=O,2.65
51,CCCCCCCCCCCCc1cc(sc1c1sc2c(c1)sc(c2)/C=C(\C(=O)O)/C#N)c1ccc(cc1)N1c2ccc(cc2C2C1C1CCC2C1)c1ccc(cc1)OC,4.24
52,CCCCCCCCCCCCc1cc(sc1c1sc2c(c1)sc(c2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)C1C3CCC(C1N2c1ccc(cc1)c1cccs1)C3,4.23
53,CCCCCCCCCCCCc1cc(sc1c1cc2c(s1)cc(s2)/C=C(\C(=O)O)/C#N)c1ccc2c(c1)C1C3CCC(C1N2c1ccc(cc1)c1ccc(cc1)OC)C3,2.96
54,CCCCCCCCn1nc2c(n1)c(c1ccc(cc1)C(=O)O)c1c(c2c2ccc(s2)c2ccc(cc2)N2C3C4CCC(C3c3c2cccc3)C4)nc(c(n1)c1ccccc1)c1ccccc1,3.1
55,CCCCCCCCn1nc2c(n1)c(c1ccc(cc1)N1c3ccccc3C3C1C1CCC3C1)c1c(c2c2ccc(s2)C(=O)O)nc(c(n1)c1ccccc1)c1ccccc1,3.9
57,CCN1C(=S)S/C(=c\2/s/c(=C\c3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)/c(=O)n2CC(=O)O)/C1=O,4.11
58,N#C/C(=C\c1ccc(s1)c1ccc2c(c1)c1ccccc1n1c2cc2c1cc(cc2)C)/C(=O)O,6.22
59,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc2c(c1)c1ccccc1n1c2cc2c1cc(cc2)C)/C(=O)O,8.34
60,CCN1C(=S)S/C(=c\2/s/c(=c\3/c(=Cc4ccc5c(c4)C4CCCC4N5c4ccc(cc4)C=C(c4ccccc4)c4ccccc4)sc(=O)n3CC(=O)O)/c(=O)n2CC)/C1=O,3.92
61,CCCCCCCCn1/c(=C/2\SC(=S)N(C2=O)CCCCCCCC)/s/c(=c\2/c(=Cc3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)sc(=O)n2CC(=O)O)/c1=O,4.36
62,CCCCC(Cn1c(=O)/c(=c/2\c(=Cc3ccc4c(c3)C3CCCC3N4c3ccc(cc3)C=C(c3ccccc3)c3ccccc3)sc(=O)n2CC(=O)O)/s/c/1=C\1/SC(=S)N(C1=O)CC(CCCC)CC)CC,4.12
63,OC(=O)Cn1c(=O)sc(=Cc2ccc3c(c2)C2CCCC2N3c2ccc(cc2)C=C(c2ccccc2)c2ccccc2)/c/1=c\1/s/c(=C\2/SC(=S)N(C2=O)c2ccccc2)/n(c1=O)c1ccccc1,4.09
64,CCCCCCCCN1C(=S)S/C(=c\2/s/c(=c\3/c(=Cc4ccc5c(c4)C4CCCC4N5c4ccc(cc4)C=C(c4ccccc4)c4ccccc4)sc(=O)n3CC(=O)O)/c(=O)n2c2ccccc2)/C1=O,4.35
