SMILES,Name,MW,AlogP,HBA,HBD,RB,HeavyAtomCount,ChiralCenterCount,ChiralCenterCountAllPossible,RingCount,PSA,Estate,MR,Polar
N#C/C(C(=O)O)=C\c1ccc(s1)/C=C/c(c(=O)o2)cc(c23)cc4c5c3C(C)(C)CCN5CCC4(C)C,34,500.6086,5.9900,3,0,5,36,0,0,5,122.7800,85.6700,142.2127,61.1060
N#C/C(C(=O)O)=C\c1ccc(s1)/C(C#N)=C/c(c(=O)o2)cc(c23)cc4c5c3C(C)(C)CCN5CCC4(C)C,35,525.6181,5.9358,4,0,5,38,0,0,5,146.5700,93.8370,147.5337,62.9580
N#C/C(C(=O)O)=C(\CC1(C)C)C=C(C1)/C=C/c(c(=O)o2)cc(c23)cc4c5c3C(C)(C)CCN5CCC4(C)C,36,512.6392,6.4338,3,0,4,38,0,0,5,94.5400,88.0870,151.4383,61.6270
N#C/C(C(=O)O)=C/c1ccc(s1)/C=C/c2ccc(s2)-c(c(=O)o3)cc(c34)cc5c6c4C(C)(C)CCN6CCC5(C)C,37,582.7323,7.5561,3,0,6,41,0,0,6,151.0200,94.8370,163.6922,72.4640
CCCCN(CCCC)c(c1)ccc(c12)C=C3C(O2)=NC(c4ccc(O)c(c4)C(=O)O)n5c3nc6c5cccc6,38,536.6209,7.4802,4,1,9,40,0,1,6,100.1800,89.8370,153.0634,69.8990
CCN(CC)c(c1)ccc(c12)C=C3C(O2)=NC(c4ccc(O)c(c4)C(=O)O)n5c3nc6c5cccc6,39,480.5146,5.5204,4,1,5,36,0,1,6,100.1800,83.8370,134.8130,62.5590
c1cccc(c1n23)nc3C=4C(=NC2c(cc5C(=O)O)ccc5O)Oc6c(C4)cc7c8c6CCCN8CCC7,40,504.5360,5.8846,4,1,2,38,0,1,8,100.1800,85.1710,141.1374,64.6810
CCCCN(CCCC)c(c1)ccc(c12)C=C3C(O2)=NC(c4ccc(cc4)C(=O)O)n5c3nc6c5cccc6,41,520.6215,7.7476,3,0,9,39,0,1,6,79.9500,84.1700,151.3693,69.2620
CCN(CC)c(c1)ccc(c12)C=C3C(O2)=NC(c4ccc(cc4)C(=O)O)n5c3nc6c5cccc6,42,464.5152,5.7878,3,0,5,35,0,1,6,79.9500,78.1700,133.1189,61.9220
OC(=O)c1ccc(cc1)C2N=C(C=3c4nc(c5n24)cccc5)Oc6c(C3)cc7c8c6CCCN8CCC7,43,488.5366,6.1520,3,0,2,37,0,1,8,79.9500,79.5040,139.4433,64.0440
c1cccc(c12)c3c(n2CCCC)ccc(c3)-c4cc(/C=C(/C#N)C(=O)O)c(s4)-c(c(=O)o5)cc(c56)cc7c8c6C(C)(C)CCN8CCC7(C)C,44,695.8683,10.1915,3,0,6,51,0,0,8,127.7100,112.1720,200.8460,91.4590
c1cccc(c12)C(CCCC)(CCCC)c3c2ccc(c3)-c4cc(/C=C(\C#N)C(=O)O)c(s4)-c(c(=O)o5)cc(c56)cc7c8c6C(C)(C)CCN8CCC7(C)C,45,750.9866,12.1122,3,0,9,55,0,0,8,122.7800,117.9220,222.4754,99.2170
N#C/C(C(=O)O)=C/c1cc(C)sc1-c(c(=O)o2)cc(c23)cc4c5c3C(C)(C)CCN5CCC4(C)C,46,488.5979,5.5897,3,0,4,35,0,0,5,122.7800,83.3370,137.1657,59.4630
N#C/C(C(=O)O)=C\c1ccc(s1)-c2ccc(s2)-c(c(=O)o3)cc(c34)ccc(c4)N(c5ccccc5)c6ccccc6,47,572.6529,8.4943,3,0,8,41,0,0,6,151.0200,98.3370,158.2377,78.0320
N#C/C(C(=O)O)=C\c1ccc(cc1)-c2ccc(s2)-c(c(=O)o3)cc(c34)ccc(c4)N(c5ccccc5)c6ccccc6,48,566.6252,8.4466,3,0,8,42,0,0,6,122.7800,100.5040,161.8944,79.5980
CCN(CC)c(c1)ccc(c12)C[C@@H](C(O2)=O)C(=O)O,49,263.2891,2.3635,2,0,4,19,1,1,2,66.8400,50.6680,70.6716,30.4010
N#C/C(C(=O)O)=C\c1ccc(s1)-c(c(=O)o2)cc(c23)ccc(c3)N(c4ccccc4)c5ccccc5,50,490.5292,6.8215,3,0,7,36,0,0,5,122.7800,89.1700,136.7582,66.6740
N#C/C(C(=O)O)=C/c1ccc(s1)-c2ccc(c(c23)nsn3)C#Cc4ccc(s4)-c(c(=O)o5)cc(c56)cc7c8c6C(C)(C)CCN8CCC7(C)C,51,714.8749,9.5385,5,0,6,50,0,0,8,205.0400,114.3380,191.0299,88.7620
N#C/C(C(=O)O)=C/c1ccc(cc1)-c2ccc(c(c23)nsn3)C#Cc4ccc(s4)-c(c(=O)o5)cc(c56)cc7c8c6C(C)(C)CCN8CCC7(C)C,52,708.8472,9.4908,5,0,6,51,0,0,8,176.8000,116.5050,194.6866,90.3280
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(c(F)c3)/C=C(/C#N)C(=O)O,53,406.4064,4.5065,3,0,5,30,0,0,3,94.5400,82.6700,111.3954,49.6410
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(c(Cl)c3)/C=C(/C#N)C(=O)O,54,422.8610,4.9654,3,0,5,30,0,0,3,94.5400,78.7810,115.9838,51.7020
CCN(CC)c(c1)ccc(c12)cc(c(o2)=O)-c3ccc(c(Br)c3)/C=C(/C#N)C(=O)O,55,467.3120,5.0494,3,0,5,30,0,0,3,94.5400,77.4200,118.8018,52.3580
N#C/C(C(=O)O)=C/c1ccc(s1)-c(c(=O)o2)cc(c23)ccc(c3)N(c(c4)ccc(c45)c6c(C5)cccc6)c(c7)ccc(c78)c9c(C8)cccc9,56,666.7425,10.1475,3,0,7,50,0,0,9,122.7800,113.5060,194.3890,94.6440
