SMILES,name,canvasUID,chiral flag,version,ct enhanced stereo status,Source Path,Source File,Source File Index,Chiralities Consistent,flags,mmshare version,source file index,Energy,Force Field,Variant,source file,BIT27531071,BIT68000204,BIT109988598,BIT163041225,BIT202070018,BIT208903412,BIT226427891,BIT266056074,BIT288161096,BIT289534697,BIT294206180,BIT302081290,BIT438441298,BIT445668463,BIT461772523,BIT474912010,BIT503302422,BIT516684402,BIT584742472,BIT626848839,BIT633534519,BIT633644184,BIT648193914,BIT649898220,BIT662335082,BIT757160799,BIT761149691,BIT794032238,BIT797205908,BIT800378189,BIT802997193,BIT824498933,BIT855209115,BIT884531061,BIT888671423,BIT900017407,BIT904691358,BIT929067895,BIT938396984,BIT944846794,BIT947725167,BIT951158712,BIT966660657,BIT1028926722,BIT1035494708,BIT1044762790,BIT1070052988,BIT1087183813,BIT1096397830,BIT1124240881,BIT1127345368,BIT1152440327,BIT1195753287,BIT1219039025,BIT1230060503,BIT1240425136,BIT1259367023,BIT1265183829,BIT1268445473,BIT1278888339,BIT1284949313,BIT1332836062,BIT1338543505,BIT1449167215,BIT1464084165,BIT1466801091,BIT1479738630,BIT1488515750,BIT1507701052,BIT1583512499,BIT1595512091,BIT1600152254,BIT1637067841,BIT1702080463,BIT1711942953,BIT1717446361,BIT1727344402,BIT1728857458,BIT1732120726,BIT1741198888,BIT1761168380,BIT1817111180,BIT1825758950,BIT1851943547,BIT1865475006,BIT1926070181,BIT1927348132,BIT1928392163,BIT1962504809,BIT1970076700,BIT2028241252,BIT2075479355,BIT2099909279,BIT2101141426,BIT2118695319,BIT2163371941,BIT2209683566,BIT2212170266,BIT2214353893,BIT2215223680,BIT2221033999,BIT2241478905,BIT2246434568,BIT2251944761,BIT2255174444,BIT2256321396,BIT2265195333,BIT2292508830,BIT2314173330,BIT2334997677,BIT2364586285,BIT2376547251,BIT2392349529,BIT2418393822,BIT2425130266,BIT2425272063,BIT2473810189,BIT2507448165,BIT2538939296,BIT2558333700,BIT2564889165,BIT2573408783,BIT2577062858,BIT2600809543,BIT2602950118,BIT2614577376,BIT2620271491,BIT2670677765,BIT2676662517,BIT2696419038,BIT2717543449,BIT2751150699,BIT2774831101,BIT2783235460,BIT2784454226,BIT2793700643,BIT2805913124,BIT2824387023,BIT2863737475,BIT2895451088,BIT2946292470,BIT2949485971,BIT2950242335,BIT3001176337,BIT3037693851,BIT3071237743,BIT3075815735,BIT3082317202,BIT3085594253,BIT3091402830,BIT3104268526,BIT3144476246,BIT3155741077,BIT3164598713,BIT3172347625,BIT3181439402,BIT3185553172,BIT3223155784,BIT3223357515,BIT3235656963,BIT3256848225,BIT3294658360,BIT3306524442,BIT3313829542,BIT3340734155,BIT3402603072,BIT3413429848,BIT3415894848,BIT3445589496,BIT3463299285,BIT3471177284,BIT3471898824,BIT3516546261,BIT3529238848,BIT3529821874,BIT3540275157,BIT3549767386,BIT3556107857,BIT3564577573,BIT3583186295,BIT3643255031,BIT3687658359,BIT3722678278,BIT3737862546,BIT3760163617,BIT3761850127,BIT3775274470,BIT3797924479,BIT3826530003,BIT3834249232,BIT3838131966,BIT4003438597,BIT4013623032,BIT4023912516,BIT4067211795,BIT4127442720,BIT4142979228,BIT4197834667,BIT4240004711,BIT4278709709
c1ccccc1N(c2ccccc2)c(cc3)cc(n4CCCC)c3c(c45)ccc(c5)-c6ccc(s6)-c7cnccn7,606,448,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,448,1,0,50079,,51.1966,OPLS_2005,606-1,,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
OC(=O)CCCCCCn1c(cc(cc2)N(c3ccccc3)c4ccccc4)c2c(c15)ccc(c5)-c6ccc(s6)-c7ccncc7,607,449,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,449,1,0,50079,,45.4056,OPLS_2005,607-1,,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0
OC(=O)CCCCCCn1c(cc(cc2)-c3ccncc3)c2c(c14)ccc(c4)N(c5ccccc5)c6ccccc6,608,450,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,450,1,0,50079,,41.7865,OPLS_2005,608-1,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
c1ccccc1N(c2ccccc2)c(cc3)cc(n4CCCC)c3c(c45)ccc(c5)-c6ccc(s6)-c7ccncc7,609,451,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,451,1,0,50079,,42.4548,OPLS_2005,609-1,,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0
c1ccccc1N(c2ccccc2)c(cc3)cc(c34)[nH]c5c4ccc(c5)-c6ccc(s6)-c7ccncc7,610,452,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,452,1,0,50079,,40.6613,OPLS_2005,610-1,,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
c1cnccc1-c(cc2)cc(n3CCCC)c2c(c34)ccc(c4)N(c5ccccc5)c6ccccc6,611,453,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,453,1,0,50079,,41.0395,OPLS_2005,611-1,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1ccccc1N(c2ccccc2)c(cc3)cc(c34)[nH]c5c4ccc(c5)-c6ccncc6,612,454,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,454,1,0,50079,,39.2844,OPLS_2005,612-1,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1ccccc1N(c2ccccc2)c(cc3)cc(n4CCCC)c3c(c45)ccc(c5)-c6ccc(cc6)C(=O)O,613,455,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,455,1,0,50079,,46.5816,OPLS_2005,613-1,,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
F[P-](F)(F)(F)(F)F.C1CCN2CCCc3c2c1cc(C=4c(s5)ccc5P(=O)(O)O)c3[Se]c(c46)c7c8=[N+](CCC7)CCCc8c6,615,456,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,456,1,0,50079,,72.7859,OPLS_2005,615-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC(=O)c1ccc(cc1)-c(cc2)cc(c23)[nH]c4c3ccc(c4)N(c5ccccc5)c6ccccc6,616,457,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,457,1,0,50079,,44.7617,OPLS_2005,616-1,,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CCCCCC=1c(c(C)c(c2C)/C=C(C#N)\C(=O)O)n2[B-](F)(F)[N+](C13)=C(C)C(=C3C)c4ccc(cc4)N(c5ccccc5)c6ccccc6,618,458,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,458,1,0,50079,,75.6022,OPLS_2005,618-1,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0
c1ccccc1N(c2ccccc2)c(c3)ccc(c34)c5c(n4CCCC)cc(cc5)-c6ccc(s6)C=7c(ccc8-c9ccc(s9)-c1ccncc1)n8[B-](F)(F)[N+](C17)=C(C=C1)c1ccc(s1)-c1ccncc1,621,459,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,459,1,0,50079,,83.3274,OPLS_2005,621-1,,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0
CCCCSC1=C(SCCCC)SC(S1)=Cc2ccc(s2)-c3ccc(s3)/C=C(C#N)/C(=O)O,622,460,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,460,1,0,50079,,20.9863,OPLS_2005,622-1,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
O=C(O)\C(C#N)=C\c(s1)ccc1-c(s2)ccc2C(=C(S3)SC(SCCCC)=C3SCCCC)C(=C4SC(SCCCC)=C(S4)SCCCC)c5ccc(s5)-c6ccc(s6)/C=C(C#N)/C(=O)O,623,461,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,461,1,0,50079,,60.333,OPLS_2005,623-1,,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1
O=C(O)C(C#N)=Cc(s1)ccc1-c(cc2)ccc2C(=C(S3)SC(SCCCC)=C3SCCCC)C(=C4SC(SCCCC)=C(S4)SCCCC)c5ccc(cc5)-c6ccc(s6)C=C(C#N)C(=O)O,624,462,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,462,1,0,50079,,80.8647,OPLS_2005,624-1,,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0
CCCCSC1=C(SCCCC)SC(S1)=Cc2ccc(cc2)-c3ccc(s3)-c4ccc(cc4)/C=C(C#N)/C(=O)O,625,463,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,463,1,0,50079,,37.6047,OPLS_2005,625-1,,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1
O=C(O)\C(C#N)=C\c(cc1)ccc1-c(s2)ccc2-c(cc3)ccc3C(=C(S4)SC(SCCCC)=C4SCCCC)C(=C5SC(SCCCC)=C(S5)SCCCC)c6ccc(cc6)-c7ccc(s7)-c8ccc(cc8)/C=C(C#N)/C(=O)O,626,464,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,464,1,0,50079,,87.0885,OPLS_2005,626-1,,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
O=C(O)\C(C#N)=C\c(s1)ccc1-c(c2)ccc3c2C(CC)(CC)c(c34)cc(cc4)C(=C(S5)SC(SCCCC)=C5SCCCC)C(=C6SC(SCCCC)=C(S6)SCCCC)c(cc7)cc(c78)C(CC)(CC)c9c8ccc(c9)-c1ccc(s1)/C=C(C#N)/C(=O)O,627,465,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,465,1,0,50079,,115.316,OPLS_2005,627-1,,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c1cccc(n2CC)c1c(c23)cc(cc3)-c(cc4CCCCCC)sc4-c(cc5CCCCCC)sc5-c6sc(cc6CCCCCC)-c7sc(/C=C(C#N)\C(=O)O)c(c7)CCCCCC,628,466,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,466,1,0,50079,,39.8584,OPLS_2005,628-1,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
O=C(O)\C(C#N)=C\c(s1)ccc1-c(s2)ccc2-c(cc3)ccc3N(c4ccc(cc4)OCCCCCC)c(c5)ccc(n6CCCCCC)c5c(c67)cc(cc7)N(c8ccc(cc8)OCCCCCC)c9ccc(cc9)-c1ccc(s1)-c1ccc(s1)/C=C(C#N)/C(=O)O,629,467,0,0,0,C:UsersclarkepDownloads,C:\Users\clarkep\Documents\Schrodinger\descr3D.cnv\3dmin\dyes3D\dyes3D_in.maegz,467,1,0,50079,,85.7453,OPLS_2005,629-1,,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
